,Name,Status,Shot,Seq,Reel,StartDate,EndDate,Duration
0,Animation,Approved,SHOT_010,020,REEL_01,2015-09-03 00:00:00,2015-12-02 00:00:00,1030.0
1,Fur,Completed,SHOT_010,020,REEL_01,2015-12-10 00:00:00,2015-12-12 00:00:00,1030.0
2,Assemble,Completed,SHOT_010,020,REEL_01,,,1030.0
3,Cloth,On Hold,SHOT_010,020,REEL_01,2015-12-07 00:00:00,2015-12-08 00:00:00,1030.0
4,Baking,Completed,SHOT_010,020,REEL_01,2015-12-07 00:00:00,2015-12-08 00:00:00,1030.0
5,Paint,Completed,SHOT_010,020,REEL_01,2015-12-17 00:00:00,2015-12-21 00:00:00,1030.0
6,MNY,Completed,SHOT_010,020,REEL_01,,,1030.0
7,Lookdev,On Hold,SHOT_010,020,REEL_01,2015-12-14 00:00:00,2015-12-16 00:00:00,1030.0
8,Rendering,Pending Review,SHOT_010,020,REEL_01,2015-12-17 00:00:00,2015-12-21 00:00:00,1030.0
9,Compositing,Pending Review,SHOT_010,020,REEL_01,2015-12-17 00:00:00,2015-12-21 00:00:00,1030.0
10,Assemble,Completed,SHOT_025,030,REEL_01,,,72.0
11,Cloth,Completed,SHOT_025,030,REEL_01,,,72.0
12,Baking,Completed,SHOT_025,030,REEL_01,,,72.0
13,Paint,Completed,SHOT_025,030,REEL_01,,,72.0
14,Animation,Approved,SHOT_025,030,REEL_01,2015-08-03 00:00:00,2015-09-02 12:00:00,72.0
15,Fur,Completed,SHOT_025,030,REEL_01,,,72.0
16,Lookdev,Approved,SHOT_025,030,REEL_01,,,72.0
17,Rendering,Completed,SHOT_025,030,REEL_01,,,72.0
18,Compositing,Approved,SHOT_025,030,REEL_01,,,72.0
19,Baking,Completed,SHOT_020,030,REEL_01,,,235.0
20,Cloth,Completed,SHOT_020,030,REEL_01,,,235.0
21,Assemble,Completed,SHOT_020,030,REEL_01,,,235.0
22,Paint,Completed,SHOT_020,030,REEL_01,,,235.0
